id	category	trigger	resources	entry
elayadesign--landing-page-design	03_落地页与视觉风格	"Complete system for building high converting landing pages: intake questions, page structure, layout		03_落地页与视觉风格/elayadesign--landing-page-design/SKILL.md
fdpro--agent-ops	03_落地页与视觉风格	Agent operating discipline — token budgeting, cross-session memory, self-improvement loops	references/examples	03_落地页与视觉风格/fdpro--agent-ops/SKILL.md
fdpro--ai-ui-generation	03_落地页与视觉风格	Prompt-to-UI, JSON-to-UI and generative-interface patterns — component registries, schema validation	references/examples	03_落地页与视觉风格/fdpro--ai-ui-generation/SKILL.md
fdpro--component-patterns	03_落地页与视觉风格	Patterns from modern component libraries — animated text, wrapper effects, ambient backgrounds, and	references/examples	03_落地页与视觉风格/fdpro--component-patterns/SKILL.md
fdpro--frontend-design-pro-main	03_落地页与视觉风格	Production-grade frontend UI/UX skill registry. Auto-routes to the correct skill based on user intent	scripts	03_落地页与视觉风格/fdpro--frontend-design-pro-main/SKILL.md
fdpro--landing-pages	03_落地页与视觉风格	Marketing pages — heroes, pricing, testimonials, bento grids, social proof, CTAs, empty states	references/examples	03_落地页与视觉风格/fdpro--landing-pages/SKILL.md
fdpro--web-interface	03_落地页与视觉风格	UI review and audit — Vercel Web Interface Guidelines, copywriting, typography detail, contrast, touch	references/examples	03_落地页与视觉风格/fdpro--web-interface/SKILL.md
feindex--frontend-components	03_落地页与视觉风格	Use for choosing and implementing frontend UI components, feature modules, and interaction patterns.		03_落地页与视觉风格/feindex--frontend-components/SKILL.md
feindex--qianduan	03_落地页与视觉风格	用户说“前端skill”时的统一入口，也接受“前端”、qianduan、“做个页面”“写个组件”“做个动效”“做个图表”。先读项目，再按需选择已有的设计、组件、GSAP、图表和验收能力；用户不必指定下游		03_落地页与视觉风格/feindex--qianduan/SKILL.md
feindex--web-coding-workflow	03_落地页与视觉风格	用户明确要求 VC、web-coding-workflow 或完整工程流程时使用。覆盖需求、架构、实现、调试和验收；普通“前端skill”页面或组件任务不自动进入此流程，不自动创建流程文档或提交 Git。		03_落地页与视觉风格/feindex--web-coding-workflow/SKILL.md
feindex--web-perf	03_落地页与视觉风格	Analyzes web performance using Chrome DevTools MCP. Measures Core Web Vitals (LCP, INP, CLS) and		03_落地页与视觉风格/feindex--web-perf/SKILL.md
gardenli--beautiful-article	03_落地页与视觉风格	"把用户提供的素材（网页 URL / PDF / DOCX / Markdown / 纯文本 / 截图 / 粘贴材料）编辑、设计成一篇美丽的、可离线打开和分享的**单文件 HTML 网页文章**。基于	scripts/references/assets	03_落地页与视觉风格/gardenli--beautiful-article/SKILL.md
gardenli--web-design-engineer	03_落地页与视觉风格	"Build or redesign polished browser-rendered visual artifacts with HTML/CSS/JavaScript/React: pages	references/agents	03_落地页与视觉风格/gardenli--web-design-engineer/SKILL.md
ibelick--create-design-md	03_落地页与视觉风格	Create or update a DESIGN.md from an existing product repository or public website. Use when asked to		03_落地页与视觉风格/ibelick--create-design-md/SKILL.md
ibelick--fixing-metadata	03_落地页与视觉风格	Audit and fix HTML metadata including page titles, meta descriptions, canonical URLs, Open Graph tags		03_落地页与视觉风格/ibelick--fixing-metadata/SKILL.md
ibelick--improve-ui	03_落地页与视觉风格	Audit an existing product surface against its own design evidence, identify verified UI problems, and	references/agents	03_落地页与视觉风格/ibelick--improve-ui/SKILL.md
ibelick--ui-skills-root	03_落地页与视觉风格	Use before UI-related work to select the smallest useful UI Skills context through the ui-skills CLI.		03_落地页与视觉风格/ibelick--ui-skills-root/SKILL.md
idankars--ad-creator	03_落地页与视觉风格	Generate static social-media ad images (Reels/TikTok/Instagram 9:16) for a brand using OpenAI		03_落地页与视觉风格/idankars--ad-creator/SKILL.md
idankars--super-design	03_落地页与视觉风格	Master entry point for ALL UI, UX, visual-design, motion, and frontend-polish work. Knows 65+ design		03_落地页与视觉风格/idankars--super-design/SKILL.md
idankars--verify-ui-actions	03_落地页与视觉风格	Verify that interactive UI actions actually DO something - not just that the page renders. Use this	scripts	03_落地页与视觉风格/idankars--verify-ui-actions/SKILL.md
intent--articulate	03_落地页与视觉风格	Design the words in a product — labels, instructions, errors, confirmations, empty states, onboarding		03_落地页与视觉风格/intent--articulate/SKILL.md
intent--blueprint	03_落地页与视觉风格	Map, analyze, and redesign the systems behind product experiences. Part of the Intent design strategy		03_落地页与视觉风格/intent--blueprint/SKILL.md
intent--fortify	03_落地页与视觉风格	Harden designs for real-world use by systematically identifying and designing for every condition		03_落地页与视觉风格/intent--fortify/SKILL.md
intent--include	03_落地页与视觉风格	Design for everyone by treating accessibility as a first-class design discipline, not a compliance		03_落地页与视觉风格/intent--include/SKILL.md
intent--investigate	03_落地页与视觉风格	Guide and conduct user research — from planning through synthesis. Interview scripts, survey design		03_落地页与视觉风格/intent--investigate/SKILL.md
intent--organize	03_落地页与视觉风格	Structure information so people can find what they need, understand where they are, and navigate		03_落地页与视觉风格/intent--organize/SKILL.md
intent--philosopher	03_落地页与视觉风格	A cross-cutting cognitive mode for sitting with design problems before rushing to solve them. Part of		03_落地页与视觉风格/intent--philosopher/SKILL.md
intent--transpose	03_落地页与视觉风格	Rethinks experiences for different platforms and contexts — not just resizing, but reconceiving. Part		03_落地页与视觉风格/intent--transpose/SKILL.md
jezweb--landing-page	03_落地页与视觉风格	"Generate a complete, deployable landing page from a brief. Produces a single self-contained HTML file		03_落地页与视觉风格/jezweb--landing-page/SKILL.md
jezweb--product-showcase	03_落地页与视觉风格	"Generate a comprehensive marketing website for a web app — multi-page with real screenshots, animated		03_落地页与视觉风格/jezweb--product-showcase/SKILL.md
jezweb--tailwind-theme-builder	03_落地页与视觉风格	"Set up Tailwind v4 + shadcn/ui themed UI with dark mode. Install deps, configure CSS variables via	references/assets	03_落地页与视觉风格/jezweb--tailwind-theme-builder/SKILL.md
juliands--design-flow	03_落地页与视觉风格	Run the full design-to-build workflow as a guided sequence. Orchestrates all designer skills in order		03_落地页与视觉风格/juliands--design-flow/SKILL.md
juliands--grill-me	03_落地页与视觉风格	Interview the user relentlessly about a plan or design until reaching shared understanding, resolving		03_落地页与视觉风格/juliands--grill-me/SKILL.md
mengto--agency-grid-layout-minimal	03_落地页与视觉风格	"Create a minimal agency design system with a disciplined editorial grid, oversized typography, quiet		03_落地页与视觉风格/mengto--agency-grid-layout-minimal/SKILL.md
mengto--blue-cloudy-clean-modern	03_落地页与视觉风格	"Create a clean modern design system with a luminous blue sky atmosphere, soft drifting cloud light		03_落地页与视觉风格/mengto--blue-cloudy-clean-modern/SKILL.md
mengto--blue-laser-clean-glass-layout	03_落地页与视觉风格	"Create a clean dark glass layout system with a thin blue laser atmosphere, frosted premium shells, and		03_落地页与视觉风格/mengto--blue-laser-clean-glass-layout/SKILL.md
mengto--book-serif-index	03_落地页与视觉风格	"Create an archival book-reader design system with serif-led pages, mono index navigation, aged paper		03_落地页与视觉风格/mengto--book-serif-index/SKILL.md
mengto--build-awwwards-quality-sites	03_落地页与视觉风格	Art-direct and implement distinctive, motion-rich marketing, editorial, portfolio, and landing websites	agents	03_落地页与视觉风格/mengto--build-awwwards-quality-sites/SKILL.md
mengto--clean-minimal-beige-light-mode	03_落地页与视觉风格	"Create a clean minimal beige light-mode design system with warm neutral shells, quiet process grids		03_落地页与视觉风格/mengto--clean-minimal-beige-light-mode/SKILL.md
mengto--dark-blue-contrasting-clean	03_落地页与视觉风格	"Create a dark-blue clean design system with strong contrast, cobalt gradient feature blocks, crisp		03_落地页与视觉风格/mengto--dark-blue-contrasting-clean/SKILL.md
mengto--dark-glass-clean-layout	03_落地页与视觉风格	"Create a dark glass layout system with frosted premium shells, clean multi-column workspace structure		03_落地页与视觉风格/mengto--dark-glass-clean-layout/SKILL.md
mengto--documentary-brutalist-agency	03_落地页与视觉风格	Create or redesign creative agency, production studio, architecture, culture, and portfolio websites	agents	03_落地页与视觉风格/mengto--documentary-brutalist-agency/SKILL.md
mengto--editorial-portfolio-chapters	03_落地页与视觉风格	Create or redesign creative-studio, agency, photographer, artist, and portfolio websites where project	assets/agents	03_落地页与视觉风格/mengto--editorial-portfolio-chapters/SKILL.md
mengto--editorial-service-booking	03_落地页与视觉风格	Create or redesign appointment-based service websites for salons, barbers, spas, wellness studios	agents	03_落地页与视觉风格/mengto--editorial-service-booking/SKILL.md
mengto--editorial-tech	03_落地页与视觉风格	"Blend editorial magazine composition with precision product-tech detailing using asymmetrical grids		03_落地页与视觉风格/mengto--editorial-tech/SKILL.md
mengto--framed-tech-dark-border-gradient	03_落地页与视觉风格	"Create a framed dark technical design system with border-gradient shells, asymmetrical grid panels		03_落地页与视觉风格/mengto--framed-tech-dark-border-gradient/SKILL.md
mengto--funky-purple-container-tech	03_落地页与视觉风格	"Create a dark container-led technical design system with fuchsia-purple accents, layered rounded		03_落地页与视觉风格/mengto--funky-purple-container-tech/SKILL.md
mengto--glass-dark-mode-clock	03_落地页与视觉风格	"Create a dark glass design system with frosted shells, soft beam grids, circular clock-like		03_落地页与视觉风格/mengto--glass-dark-mode-clock/SKILL.md
mengto--glass-dark-ui	03_落地页与视觉风格	Build dark-mode glassmorphism interfaces with readable contrast, frosted surfaces, and gradient borders		03_落地页与视觉风格/mengto--glass-dark-ui/SKILL.md
mengto--high-contrast-skeuomorphic-clean	03_落地页与视觉风格	"Create a high-contrast clean skeuomorphic design system with molded dark surfaces, crisp light		03_落地页与视觉风格/mengto--high-contrast-skeuomorphic-clean/SKILL.md
mengto--image-first-grid-layout	03_落地页与视觉风格	"Create an image-led grid design system with full-bleed photography, structural guide lines, anchored		03_落地页与视觉风格/mengto--image-first-grid-layout/SKILL.md
mengto--landing-page	03_落地页与视觉风格	Use when designing or rewriting a high-converting landing page (single-offer page) for		03_落地页与视觉风格/mengto--landing-page/SKILL.md
mengto--light-mode-paper-technical	03_落地页与视觉风格	"Create a light-mode technical design system with warm paper surfaces, dark outer framing, subtle		03_落地页与视觉风格/mengto--light-mode-paper-technical/SKILL.md
mengto--nested-container-clean-agency	03_落地页与视觉风格	"Create a clean agency design system built from nested containers, with an outer editorial shell, inset		03_落地页与视觉风格/mengto--nested-container-clean-agency/SKILL.md
mengto--operational-enterprise-ai	03_落地页与视觉风格	Create or redesign enterprise AI, automation, security, and operations product pages that explain	agents	03_落地页与视觉风格/mengto--operational-enterprise-ai/SKILL.md
mengto--orange-clean-paper-saas	03_落地页与视觉风格	"Create a clean paper-toned SaaS design system with warm neutrals, orange accent signals, rounded		03_落地页与视觉风格/mengto--orange-clean-paper-saas/SKILL.md
mengto--pricing-page	03_落地页与视觉风格	Use when designing or rewriting a high-converting SaaS pricing page (structure, plan design		03_落地页与视觉风格/mengto--pricing-page/SKILL.md
mengto--product-proof-saas	03_落地页与视觉风格	Create or redesign SaaS and AI product landing pages where a real workflow, interface, or deterministic	agents	03_落地页与视觉风格/mengto--product-proof-saas/SKILL.md
mengto--skeuomorphic-ui	03_落地页与视觉风格	Create skeuomorphic web UI surfaces with layered gradients, stacked inner and outer shadows, reflective		03_落地页与视觉风格/mengto--skeuomorphic-ui/SKILL.md
mengto--solar-duotone-bold	03_落地页与视觉风格	"Use Iconify Solar Duotone Bold icon style."		03_落地页与视觉风格/mengto--solar-duotone-bold/SKILL.md
mengto--split-layout-technical	03_落地页与视觉风格	"Create a technical split-screen design system with dual panels, fine frame lines, mono metadata, quiet		03_落地页与视觉风格/mengto--split-layout-technical/SKILL.md
mengto--tailwindcss	03_落地页与视觉风格	Use when designing/implementing UI with Tailwind CSS (layout, typography, responsive, theming		03_落地页与视觉风格/mengto--tailwindcss/SKILL.md
mengto--tech-green-dark-mode-modern	03_落地页与视觉风格	"Create a modern dark-mode technical design system with matte-black surfaces, emerald signal accents		03_落地页与视觉风格/mengto--tech-green-dark-mode-modern/SKILL.md
mengto--technical-wireframe-info-layout	03_落地页与视觉风格	"Create a monochrome technical wireframe design system with exploded 3D structure, connector		03_落地页与视觉风格/mengto--technical-wireframe-info-layout/SKILL.md
mengto--webgl-landing-steering	03_落地页与视觉风格	Use when creating or refining WebGL-heavy landing pages and you need to steer toward a specific visual		03_落地页与视觉风格/mengto--webgl-landing-steering/SKILL.md
oc--interactive-portfolio	03_落地页与视觉风格	Expert in building portfolios that actually land jobs and clients - not just showing work, but creating		03_落地页与视觉风格/oc--interactive-portfolio/SKILL.md
oc--landing-page-generator	03_落地页与视觉风格	"Generates high-converting Next.js/React landing pages with Tailwind CSS. Uses PAS, AIDA, and BAB	scripts/references	03_落地页与视觉风格/oc--landing-page-generator/SKILL.md
pencil--pencilplaybook-main	03_落地页与视觉风格	"PencilPlaybook is the UI Skills / Taste-Skill for Pencil.dev + Claude Code — a design playbook that	references	03_落地页与视觉风格/pencil--pencilplaybook-main/SKILL.md
pencil--skill-creator	03_落地页与视觉风格	Guide for creating effective skills. This skill should be used when users want to create a new skill	scripts	03_落地页与视觉风格/pencil--skill-creator/SKILL.md
sheleg--sheleg-design	03_落地页与视觉风格	Use when deciding how something LOOKS or MOVES — cinematic landing pages and hero sections		03_落地页与视觉风格/sheleg--sheleg-design/SKILL.md
transitions--refine-live	03_落地页与视觉风格	In-chat fallback for the Timeline Inspector Refine agent. Use when the user runs `/refine live`, asks		03_落地页与视觉风格/transitions--refine-live/SKILL.md
uiflx--add-block	03_落地页与视觉风格	Full workflow for adding a new UI block to ui-flx: file structure, manifest, catalog + registry.json		03_落地页与视觉风格/uiflx--add-block/SKILL.md
uiflx--add-pattern	03_落地页与视觉风格	Full workflow for adding a new UI pattern to ui-flx. Covers file structure		03_落地页与视觉风格/uiflx--add-pattern/SKILL.md
uiflx--add-sketch	03_落地页与视觉风格	Full workflow for adding a new UI sketch to ui-flx. Sketches are low-fidelity, content-free wireframes		03_落地页与视觉风格/uiflx--add-sketch/SKILL.md
uiuxpromax--banner-design	03_落地页与视觉风格	"Design banners for social media, ads, website heroes, creative assets, and print. Multiple art	references	03_落地页与视觉风格/uiuxpromax--banner-design/SKILL.md
uiuxpromax--brand	03_落地页与视觉风格	Brand voice, visual identity, messaging frameworks, asset management, brand consistency. Activate for	scripts/references/templates	03_落地页与视觉风格/uiuxpromax--brand/SKILL.md
uiuxpromax--design	03_落地页与视觉风格	"Comprehensive design skill: brand identity, design tokens, UI styling, logo generation (55 styles	scripts/references/data	03_落地页与视觉风格/uiuxpromax--design/SKILL.md
uiuxpromax--design-system	03_落地页与视觉风格	Token architecture, component specifications, and slide generation. Three-layer tokens	scripts/references/data/templates	03_落地页与视觉风格/uiuxpromax--design-system/SKILL.md
uiuxpromax--ui-styling	03_落地页与视觉风格	Create beautiful, accessible user interfaces with shadcn/ui components (built on Radix UI + Tailwind)	scripts/references	03_落地页与视觉风格/uiuxpromax--ui-styling/SKILL.md
uiuxpromax--ui-ux-pro-max	03_落地页与视觉风格	"UI/UX design intelligence for web, mobile, and desktop. This skill should be used when designing	scripts/references/data	03_落地页与视觉风格/uiuxpromax--ui-ux-pro-max/SKILL.md
ultimate--ui-ux-pro	03_落地页与视觉风格	World-class design intelligence for building, reviewing, or improving any design artifact — interfaces		03_落地页与视觉风格/ultimate--ui-ux-pro/SKILL.md
ultra--ultra-frontend	03_落地页与视觉风格	Master frontend skill for Claude Code. Synthesizes ultra-frontend design system, uiuxpromax design	scripts/references	03_落地页与视觉风格/ultra--ultra-frontend/SKILL.md
uxcel--analytics	03_落地页与视觉风格	"Run a product-analytics analysis that produces a decision, not a dashboard — start from the question		03_落地页与视觉风格/uxcel--analytics/SKILL.md
uxcel--assumption-rigor	03_落地页与视觉风格	Run a structured rigor audit on how a team validated (or plans to validate) its assumptions — for a		03_落地页与视觉风格/uxcel--assumption-rigor/SKILL.md
uxcel--cards	03_落地页与视觉风格	Design or critique UI cards — one-topic, scannable cards with clear hierarchy, the right container		03_落地页与视觉风格/uxcel--cards/SKILL.md
uxcel--contact-support	03_落地页与视觉风格	Design or critique a contact/support experience — help center, FAQ, contact methods, live chat		03_落地页与视觉风格/uxcel--contact-support/SKILL.md
uxcel--dark-patterns	03_落地页与视觉风格	Audit a UI, flow, or copy for dark (deceptive) patterns — design that manipulates users into unintended		03_落地页与视觉风格/uxcel--dark-patterns/SKILL.md
uxcel--dashboard	03_落地页与视觉风格	Design or critique an analytics or data dashboard — which metrics earn a place, how to organize and		03_落地页与视觉风格/uxcel--dashboard/SKILL.md
uxcel--decision-quality	03_落地页与视觉风格	Run a structured quality audit on a product decision or its rationale — a		03_落地页与视觉风格/uxcel--decision-quality/SKILL.md
uxcel--design-from-scratch	03_落地页与视觉风格	Orchestrated, build-from-zero UX workflow. Establishes context once, then composes the generative		03_落地页与视觉风格/uxcel--design-from-scratch/SKILL.md
uxcel--experimentation-ab	03_落地页与视觉风格	"Design or critique an A/B test or controlled product experiment with statistical rigor		03_落地页与视觉风格/uxcel--experimentation-ab/SKILL.md
